Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,churn,frequency_decay,recency_cliff,segment,dbscan_cluster,gmm_segment,segment_probability
12346.0,67,46,-64.68,3,3,1,331,0,0.6764705882352942,1,2,0,0,0.9821682594578702
12347.0,3,71,1323.32,5,4,4,544,0,17.75,0,2,0,0,0.8729883601543431
12348.0,74,20,222.16,2,2,1,221,0,0.2666666666666666,1,2,0,2,0.7930889631187458
12349.0,43,107,2646.99,3,4,5,345,0,2.4318181818181817,0,2,0,5,0.935537915268711
12351.0,11,21,300.93,5,2,2,522,0,1.75,0,2,0,2,0.6063448343859698
12352.0,11,18,343.8,5,2,2,522,0,1.5,0,2,0,2,0.6242645314817217
12353.0,44,20,317.76,3,2,2,322,0,0.4444444444444444,0,2,0,2,0.6260054201142246
12355.0,203,22,488.21,1,2,3,123,1,0.1078431372549019,1,1,0,2,0.9987889318044443
12356.0,16,84,3562.25,4,4,5,445,0,4.941176470588236,0,2,0,5,0.9905964553594282
12357.0,24,165,12079.99,4,5,5,455,0,6.6,0,0,0,1,0.9946110224908208
12358.0,11,58,2719.01,5,3,5,535,0,4.833333333333333,0,2,0,5,0.9928231473663223
12359.0,61,121,2469.36,3,4,5,345,0,1.9516129032258065,1,2,0,5,0.49715573717677564
12360.0,15,89,1550.83,5,4,4,544,0,5.5625,0,2,0,0,0.7139093914144056
12361.0,98,19,321.35,2,2,2,222,1,0.1919191919191919,1,2,0,2,0.9385696756012898
12362.0,374,1,130.0,1,1,1,111,1,0.0026666666666666,1,1,0,2,0.9998894938924083
12366.0,269,3,500.24,1,1,3,113,1,0.0111111111111111,1,1,0,2,0.9888341224232804
12368.0,264,18,917.7,1,2,3,123,1,0.0679245283018867,1,1,0,1,0.5183863990446407
12369.0,49,93,1791.15,3,4,4,344,0,1.86,0,2,0,0,0.8546983707340883
12370.0,260,35,774.62,1,3,3,133,1,0.1340996168582375,1,1,0,2,0.9938618230871479
12371.0,45,104,2179.42,3,4,5,345,0,2.260869565217391,0,2,0,5,0.5370050451030808
12373.0,260,37,763.0500000000001,1,3,3,133,1,0.1417624521072797,1,1,0,2,0.9951262861034926
12374.0,57,50,2246.29,3,3,5,335,0,0.8620689655172413,0,2,0,5,0.7097157929624294
12376.0,25,13,503.15,4,1,3,413,0,0.5,0,2,0,0,0.5964660693147811
12377.0,17,75,1798.2,4,4,4,444,0,4.166666666666667,0,2,0,0,0.5554116223805411
12378.0,198,82,1407.7,1,4,4,144,1,0.4120603015075377,1,1,0,1,0.9931984088947232
12379.0,58,41,767.98,3,3,3,333,0,0.6949152542372882,0,2,0,0,0.8304383984041821
12380.0,17,178,5167.44,4,5,5,455,0,9.88888888888889,0,2,0,5,0.9297879178631437
12382.0,318,1,-18.38,1,1,1,111,1,0.0031347962382445,1,1,0,2,0.999527681937908
12385.0,15,66,1923.4,5,4,4,544,0,4.125,0,2,0,5,0.6416845562690235
12386.0,2,8,258.9,5,1,2,512,0,2.6666666666666665,0,2,0,2,0.6644493502214329
12387.0,51,9,143.94,3,1,1,311,0,0.173076923076923,0,2,0,2,0.674664634657721
12388.0,81,46,1120.45,2,3,4,234,0,0.5609756097560976,1,2,0,0,0.9930290468563591
12389.0,38,49,1433.33,3,3,4,334,0,1.2564102564102564,0,2,0,0,0.8820354108696321
12391.0,100,187,2286.93,2,5,5,255,1,1.851485148514852,1,2,0,1,0.9823393526539745
12392.0,227,7,234.75000000000003,1,1,2,112,1,0.0307017543859649,1,1,0,2,0.9990619889991339
12393.0,18,48,794.15,4,3,3,433,0,2.526315789473684,0,2,0,0,0.865845812275603
12395.0,7,98,2048.64,5,4,4,544,0,12.25,0,2,0,5,0.7303072810468384
12396.0,310,65,931.43,1,4,3,143,1,0.2090032154340836,1,1,0,2,0.9628893282734069
12399.0,21,51,853.65,4,3,3,433,0,2.3181818181818183,0,2,0,0,0.9002730673639073
12400.0,50,11,205.25,3,1,1,311,0,0.2156862745098039,0,2,0,2,0.681348538516333
12402.0,28,60,1018.55,4,3,4,434,0,2.0689655172413794,0,2,0,0,0.9326097098794474
12403.0,157,4,591.6600000000001,2,1,3,213,1,0.0253164556962025,1,1,0,2,0.9481282542027964
12404.0,318,1,63.24,1,1,1,111,1,0.0031347962382445,1,1,0,2,0.9996078075816635
12406.0,24,62,2791.46,4,3,5,435,0,2.48,0,2,0,5,0.9935096603433126
12408.0,15,57,1437.07,5,3,4,534,0,3.5625,0,2,0,0,0.813665413779461
12409.0,56,158,12033.54,3,5,5,355,0,2.771929824561404,0,0,0,1,0.9999999999925615
12410.0,138,14,320.38,2,1,2,212,1,0.1007194244604316,1,2,0,2,0.9968963801133458
12411.0,45,22,346.9,3,2,2,322,0,0.4782608695652174,0,2,0,2,0.6135814006257005
12412.0,38,70,1354.15,3,4,4,344,0,1.794871794871795,0,2,0,0,0.9207945587090057
12413.0,38,13,241.35,3,1,2,312,0,0.3333333333333333,0,2,0,2,0.6333747445423732
12414.0,99,19,130.0,2,2,1,221,1,0.19,1,2,0,2,0.9255155103019097
12415.0,11,212,19543.84,5,5,5,555,0,17.666666666666668,0,0,0,4,0.9706264934767094
12416.0,292,11,202.56,1,1,1,111,1,0.0375426621160409,1,1,0,2,0.999671617246958
12417.0,37,183,3129.41,3,5,5,355,0,4.815789473684211,0,2,0,5,0.9836458914233198
12418.0,49,69,1348.37,3,4,4,344,0,1.38,0,2,0,0,0.9614786812666269
12419.0,21,25,503.01,4,2,3,423,0,1.1363636363636365,0,2,0,0,0.49723407217018734
12421.0,51,21,286.56,3,2,2,322,0,0.4038461538461538,0,2,0,2,0.6480176614863862
12422.0,30,137,3315.79,4,5,5,455,0,4.419354838709677,0,2,0,5,0.9900458933689884
12423.0,23,40,763.08,4,3,3,433,0,1.6666666666666667,0,2,0,0,0.8222869094641323
12424.0,58,67,1528.82,3,4,4,344,0,1.1355932203389831,0,2,0,0,0.9715752897388996
12425.0,66,59,903.61,3,3,3,333,0,0.8805970149253731,1,2,0,0,0.9682489109696927
12426.0,282,52,728.6800000000001,1,3,3,133,1,0.1837455830388692,1,1,0,2,0.9957435836137549
12427.0,7,10,303.5,5,1,2,512,0,1.25,0,2,0,2,0.6353537372549071
12429.0,1,77,3685.11,5,4,5,545,0,38.5,0,2,0,5,0.9844853922056511
12431.0,9,173,4303.02,5,5,5,555,0,17.3,0,2,0,5,0.9784671283819262
12433.0,2,287,7052.99,5,5,5,555,0,95.66666666666669,0,0,0,1,0.8391473256709516
12434.0,17,20,297.29,4,2,2,422,0,1.1111111111111112,0,2,0,2,0.5975292515051783
12435.0,32,76,6096.04,4,4,5,445,0,2.303030303030303,0,2,0,1,0.5948905064476435
12437.0,29,382,7498.19,4,5,5,455,0,12.733333333333333,0,0,0,1,0.993692953910482
12439.0,318,75,1104.48,1,4,4,144,1,0.2351097178683385,1,1,0,2,0.6260218121582342
12440.0,93,35,768.15,2,3,3,233,1,0.3723404255319149,1,2,0,0,0.5659234824991927
12441.0,2,11,173.55,5,1,1,511,0,3.6666666666666665,0,2,0,2,0.6606946596293926
12443.0,368,21,485.31,1,2,3,123,1,0.056910569105691,1,1,0,2,0.9998836786874881
12445.0,36,21,293.08000000000004,3,2,2,322,0,0.5675675675675675,0,2,0,2,0.590016964821542
12449.0,46,10,768.6,3,1,3,313,0,0.2127659574468085,0,2,0,0,0.9446853475726477
12450.0,35,32,469.07,4,2,2,422,0,0.8888888888888888,0,2,0,0,0.5374735850479777
12451.0,99,159,3613.01,2,5,5,255,1,1.59,1,2,0,1,0.9983155150584055
12454.0,31,42,4292.71,4,3,5,435,0,1.3125,0,2,0,5,0.9503073822221412
12455.0,81,137,3413.09,2,5,5,255,0,1.670731707317073,1,2,0,1,0.8883826670542154
12457.0,53,25,554.53,3,2,3,323,0,0.4629629629629629,0,2,0,0,0.523072513270347
12458.0,63,46,830.09,3,3,3,333,0,0.71875,1,2,0,0,0.8945811999501457
12459.0,241,23,454.36,1,2,2,122,1,0.0950413223140495,1,1,0,2,0.9992342202895347
12460.0,92,18,326.65,2,2,2,222,1,0.1935483870967742,1,2,0,2,0.9136436800783687
12466.0,318,1,56.73,1,1,1,111,1,0.0031347962382445,1,1,0,2,0.9996055118011625
12467.0,22,18,0.0,4,2,1,421,0,0.782608695652174,0,2,0,0,0.699685801187488
12468.0,66,123,2900.51,3,4,5,345,0,1.835820895522388,1,2,0,5,0.6798773669776196
12469.0,158,76,3070.54,2,4,5,245,1,0.4779874213836478,1,1,0,1,0.999944657217684
12470.0,325,23,211.95,1,2,1,121,1,0.0705521472392638,1,1,0,2,0.9998317407869455
12471.0,8,767,19207.69,5,5,5,555,0,85.22222222222223,0,0,-1,4,0.997417007400606
12472.0,5,658,10727.21,5,5,5,555,0,109.66666666666669,0,0,0,1,0.5119604420843891
12474.0,4,307,4849.98,5,5,5,555,0,61.4,0,0,0,5,0.8538114027821717
12475.0,45,25,426.26,3,2,2,322,0,0.5434782608695652,0,2,0,2,0.5672188319278658
12476.0,10,300,7169.04,5,5,5,555,0,27.27272727272728,0,0,0,1,0.8593055059287158
12477.0,35,264,7056.63,4,5,5,455,0,7.333333333333333,0,0,0,1,0.9382504239125465
12480.0,35,91,2153.4700000000003,4,4,5,445,0,2.5277777777777777,0,2,0,5,0.6678656501525513
12481.0,1,177,6626.17,5,5,5,555,0,88.5,0,0,0,1,0.6082674862648979
12482.0,85,207,21893.53,2,5,5,255,0,2.4069767441860463,1,0,-1,1,1.0
12483.0,14,67,2519.74,5,4,5,545,0,4.466666666666667,0,2,0,5,0.9869806656266175
12484.0,113,134,1808.58,2,5,4,254,1,1.1754385964912282,1,2,0,0,0.7054193782910124
12485.0,165,34,708.1,2,3,3,233,1,0.2048192771084337,1,1,0,2,0.9942664883434635
12486.0,67,49,1037.28,3,3,4,334,0,0.7205882352941176,1,2,0,0,0.9844706013885337
12487.0,366,3,259.79999999999995,1,1,2,112,1,0.0081743869209809,1,1,0,2,0.9998193803040133
12490.0,14,218,4400.71,5,5,5,555,0,14.533333333333331,0,0,0,5,0.9715194048290027
12492.0,39,22,452.0,3,2,2,322,0,0.55,0,2,0,2,0.5387952187990622
12494.0,1,38,604.17,5,3,3,533,0,19.0,0,2,0,0,0.5985702152714093
12495.0,270,19,323.4,1,2,2,122,1,0.070110701107011,1,1,0,2,0.9996018221349585
12496.0,256,13,54.09,1,1,1,111,1,0.0505836575875486,1,1,0,2,0.9991848340379793
12497.0,36,44,5168.650000000001,3,3,5,335,0,1.1891891891891893,0,2,0,5,0.7447833588438828
12499.0,196,27,393.72,1,2,2,122,1,0.1370558375634517,1,1,0,2,0.9991743343836168
12500.0,71,91,1666.04,2,4,4,244,0,1.2638888888888888,1,2,0,0,0.9859467677651579
12503.0,220,2,1126.0,1,1,4,114,1,0.0090497737556561,1,1,0,1,0.9999853312877354
12504.0,53,11,297.0,3,1,2,312,0,0.2037037037037037,0,2,0,2,0.6767381410573048
12505.0,29,46,912.5,4,3,3,433,0,1.5333333333333334,0,2,0,0,0.9197426106707169
12507.0,220,28,539.25,1,2,3,123,1,0.1266968325791855,1,1,0,2,0.9987605619247557
12510.0,95,121,2706.76,2,4,5,245,1,1.2604166666666667,1,2,0,1,0.616589886261537
12511.0,50,194,3065.77,3,5,5,355,0,3.803921568627451,0,2,0,5,0.944367566661985
12514.0,277,33,580.08,1,3,3,133,1,0.118705035971223,1,1,0,2,0.9991479425547225
12516.0,66,48,1336.56,3,3,4,334,0,0.7164179104477612,1,2,0,0,0.989815119980885
12519.0,100,24,354.35,2,2,2,222,1,0.2376237623762376,1,2,0,2,0.9356544525730536
12523.0,10,155,2475.28,5,5,5,555,0,14.090909090909092,0,2,0,5,0.9894730891552648
12524.0,24,98,6605.64,4,4,5,445,0,3.92,0,2,0,1,0.7437021225238125
12525.0,127,77,835.1800000000001,2,4,3,243,1,0.6015625,1,2,0,0,0.8728951179437102
12527.0,130,14,386.8,2,1,2,212,1,0.1068702290076335,1,2,0,2,0.9921705588788063
