Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score
12346.0,67,46,-64.68,3,3,1,331
12347.0,3,71,1323.32,5,4,4,544
12348.0,74,20,222.16,2,2,1,221
12349.0,43,107,2646.99,3,4,5,345
12351.0,11,21,300.93,5,2,2,522
12352.0,11,18,343.8,5,2,2,522
12353.0,44,20,317.76,3,2,2,322
12355.0,203,22,488.21000000000004,1,2,3,123
12356.0,16,84,3562.25,4,4,5,445
12357.0,24,165,12079.99,4,5,5,455
12358.0,11,58,2719.01,5,3,5,535
12359.0,61,121,2469.36,3,4,5,345
12360.0,15,89,1550.83,5,4,4,544
12361.0,98,19,321.35,2,2,2,222
12362.0,374,1,130.0,1,1,1,111
12366.0,269,3,500.24,1,1,3,113
12368.0,264,18,917.6999999999999,1,2,3,123
12369.0,49,93,1791.15,3,4,4,344
12370.0,260,35,774.62,1,3,3,133
12371.0,45,104,2179.42,3,4,5,345
12373.0,260,37,763.0500000000001,1,3,3,133
12374.0,57,50,2246.29,3,3,5,335
12376.0,25,13,503.15,4,1,3,413
12377.0,17,75,1798.2,4,4,4,444
12378.0,198,82,1407.7,1,4,4,144
12379.0,58,41,767.98,3,3,3,333
12380.0,17,178,5167.44,4,5,5,455
12382.0,318,1,-18.38,1,1,1,111
12385.0,15,66,1923.4,5,4,4,544
12386.0,2,8,258.9,5,1,2,512
12387.0,51,9,143.94,3,1,1,311
12388.0,81,46,1120.45,2,3,4,234
12389.0,38,49,1433.33,3,3,4,334
12391.0,100,187,2286.93,2,5,5,255
12392.0,227,7,234.75000000000003,1,1,2,112
12393.0,18,48,794.15,4,3,3,433
12395.0,7,98,2048.64,5,4,4,544
12396.0,310,65,931.43,1,4,3,143
12399.0,21,51,853.65,4,3,3,433
12400.0,50,11,205.25,3,1,1,311
12402.0,28,60,1018.55,4,3,4,434
12403.0,157,4,591.6600000000001,2,1,3,213
12404.0,318,1,63.24,1,1,1,111
12406.0,24,62,2791.46,4,3,5,435
12408.0,15,57,1437.07,5,3,4,534
12409.0,56,158,12033.539999999999,3,5,5,355
12410.0,138,14,320.38,2,1,2,212
12411.0,45,22,346.9,3,2,2,322
12412.0,38,70,1354.15,3,4,4,344
12413.0,38,13,241.35,3,1,2,312
12414.0,99,19,130.0,2,2,1,221
12415.0,11,212,19543.84,5,5,5,555
12416.0,292,11,202.56,1,1,1,111
12417.0,37,183,3129.41,3,5,5,355
12418.0,49,69,1348.37,3,4,4,344
12419.0,21,25,503.01,4,2,3,423
12421.0,51,21,286.56,3,2,2,322
12422.0,30,137,3315.79,4,5,5,455
12423.0,23,40,763.08,4,3,3,433
12424.0,58,67,1528.82,3,4,4,344
12425.0,66,59,903.61,3,3,3,333
12426.0,282,52,728.6800000000001,1,3,3,133
12427.0,7,10,303.5,5,1,2,512
12429.0,1,77,3685.11,5,4,5,545
12431.0,9,173,4303.02,5,5,5,555
12433.0,2,287,7052.99,5,5,5,555
12434.0,17,20,297.29,4,2,2,422
12435.0,32,76,6096.04,4,4,5,445
12437.0,29,382,7498.19,4,5,5,455
12439.0,318,75,1104.48,1,4,4,144
12440.0,93,35,768.15,2,3,3,233
12441.0,2,11,173.55,5,1,1,511
12443.0,368,21,485.31,1,2,3,123
12445.0,36,21,293.08000000000004,3,2,2,322
12449.0,46,10,768.6,3,1,3,313
12450.0,35,32,469.07,4,2,2,422
12451.0,99,159,3613.0099999999998,2,5,5,255
12454.0,31,42,4292.71,4,3,5,435
12455.0,81,137,3413.09,2,5,5,255
12457.0,53,25,554.53,3,2,3,323
12458.0,63,46,830.09,3,3,3,333
12459.0,241,23,454.36,1,2,2,122
12460.0,92,18,326.65,2,2,2,222
12466.0,318,1,56.73,1,1,1,111
12467.0,22,18,0.0,4,2,1,421
12468.0,66,123,2900.5099999999998,3,4,5,345
12469.0,158,76,3070.54,2,4,5,245
12470.0,325,23,211.95,1,2,1,121
12471.0,8,767,19207.69,5,5,5,555
12472.0,5,658,10727.21,5,5,5,555
12474.0,4,307,4849.98,5,5,5,555
12475.0,45,25,426.26,3,2,2,322
12476.0,10,300,7169.04,5,5,5,555
12477.0,35,264,7056.63,4,5,5,455
12480.0,35,91,2153.4700000000003,4,4,5,445
12481.0,1,177,6626.17,5,5,5,555
12482.0,85,207,21893.53,2,5,5,255
12483.0,14,67,2519.7400000000002,5,4,5,545
12484.0,113,134,1808.58,2,5,4,254
12485.0,165,34,708.1,2,3,3,233
12486.0,67,49,1037.28,3,3,4,334
12487.0,366,3,259.79999999999995,1,1,2,112
12490.0,14,218,4400.71,5,5,5,555
