Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
489438,85132A,CHARLIE + LOLA BISCUITS TINS,60,2009-12-01 09:24:00,6.38,18102.0,United Kingdom,382.8
489438,85132C,CHARLIE AND LOLA FIGURES TINS,60,2009-12-01 09:24:00,6.4,18102.0,United Kingdom,384.0
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,2009-12-01 11:46:00,1.45,12931.0,United Kingdom,1160.0
489539,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,160,2009-12-01 12:18:00,2.55,15061.0,United Kingdom,408.0
489539,22083,PAPER CHAIN KIT RETRO SPOT,160,2009-12-01 12:18:00,2.55,15061.0,United Kingdom,408.0
489539,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,192,2009-12-01 12:18:00,1.45,15061.0,United Kingdom,278.4
489539,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,72,2009-12-01 12:18:00,4.25,15061.0,United Kingdom,306.0
489539,20692,FLORAL ELEPHANT SOFT TOY,96,2009-12-01 12:18:00,3.75,15061.0,United Kingdom,360.0
489656,79323P,PINK CHERRY LIGHTS,48,2009-12-01 17:28:00,5.45,17428.0,United Kingdom,261.6
489656,79323W, WHITE CHERRY LIGHTS,48,2009-12-01 17:28:00,5.45,17428.0,United Kingdom,261.6
489669,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,120,2009-12-02 08:15:00,2.55,12842.0,United Kingdom,306.0
489675,15056BL,EDWARDIAN PARASOL BLACK,240,2009-12-02 09:47:00,4.6,13777.0,United Kingdom,1104.0
489675,84029E,RED WOOLLY HOTTIE WHITE HEART.,168,2009-12-02 09:47:00,2.95,13777.0,United Kingdom,495.6
489675,20971,PINK BLUE FELT CRAFT TRINKET BOX,240,2009-12-02 09:47:00,1.06,13777.0,United Kingdom,254.4
489675,20679,EDWARDIAN PARASOL RED,120,2009-12-02 09:47:00,4.6,13777.0,United Kingdom,552.0
489675,22041,"""RECORD FRAME 7"""" SINGLE SIZE """,240,2009-12-02 09:47:00,2.1,13777.0,United Kingdom,504.0
489675,35004C,SET OF 3 COLOURED  FLYING DUCKS,60,2009-12-02 09:47:00,4.65,13777.0,United Kingdom,279.0
